AreaManagerId,SellingPointId,StartDateSellingPoint,EndDateSellingPoint,SellingPointDesc,Location
1900,51852,20140601,20180301,"Sneek, Bothniakade. Parkeermeter 2002, ? 1,20 per uur, max. 2 uur","(53.032093609, 5.665165965)"
867,21429,20180530,,Marijkestraat 1,"(51.68891742, 5.070463077)"
855,51395,20130101,20180101,Lindeplein,"(51.556818864, 5.073681085)"
867,21409,20180530,,De Els (west) 1,"(51.688860704, 5.063400397)"
1900,51801,20140601,,"Sneek, Lemmerweg. Parkeermeter 0009, ? 1,00 per uur, max. 2 uur","(53.028683647, 5.658369291)"
867,21417,20180530,,Wandelpark 1,"(51.689664665, 5.061062926)"
855,51470,20130101,20180101,Hart van Brabantlaan,"(51.560574889, 5.073254869)"
1900,51857,20140601,,"Sneek, St. Antoniusplein(p-dek) Parkeermeter 2104, ? 1,00 per uur, max. 2 uur","(53.033652206, 5.655576248)"
202,26031,20190116,,,"(51.986194621, 5.899724523)"
855,51378,20130101,20180101,Wilgenstraat,"(51.556048166, 5.075351263)"
867,21451,20180530,,Margrietstraat 2,"(51.686592002, 5.066009876)"
1900,51806,20140601,,"Sneek, Kleinzand. Parkeermeter 0202, ? 1,20 per uur, max. 2 uur","(53.03276996, 5.664450933)"
1900,51819,20140601,,"Sneek, Prins Hendrikkade. Parkeermeter 0406, ? 1,20 per uur, max. 2 uur","(53.033676345, 5.660237431)"
867,21403,20180530,,Stationsstraat  Noord 1,"(51.687099254, 5.067298128)"
